,AAPL,XOM,YUM,IBM,LLY
AAPL,0.0503950456314997,-0.0005863738712604857,0.0051793480469587054,0.006247169906639621,0.009622935829918626
XOM,-0.0005863738712604857,0.03649041215841776,0.0030309643287407292,0.007755508264918143,-0.003968562560344265
YUM,0.0051793480469587054,0.0030309643287407292,0.026038442230637695,0.009654973162115612,0.0038953683998169545
IBM,0.006247169906639621,0.007755508264918143,0.009654973162115612,0.054973995941603675,0.01627110702674379
LLY,0.009622935829918626,-0.003968562560344265,0.0038953683998169545,0.01627110702674379,0.09214373566916295
